Sample Number,Species,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
38,Adelie Penguin (Pygoscelis adeliae),Dream,N24A2,42.2,18.5,180,3550,FEMALE
39,Adelie Penguin (Pygoscelis adeliae),Dream,N25A1,37.6,19.3,181,3300,FEMALE
40,Adelie Penguin (Pygoscelis adeliae),Dream,N25A2,39.8,19.1,184,4650,MALE
41,Adelie Penguin (Pygoscelis adeliae),Dream,N26A1,36.5,18,182,3150,FEMALE
42,Adelie Penguin (Pygoscelis adeliae),Dream,N26A2,40.8,18.4,195,3900,MALE
43,Adelie Penguin (Pygoscelis adeliae),Dream,N27A1,36,18.5,186,3100,FEMALE
44,Adelie Penguin (Pygoscelis adeliae),Dream,N27A2,44.1,19.7,196,4400,MALE
45,Adelie Penguin (Pygoscelis adeliae),Dream,N28A1,37,16.9,185,3000,FEMALE
46,Adelie Penguin (Pygoscelis adeliae),Dream,N28A2,39.6,18.8,190,4600,MALE
47,Adelie Penguin (Pygoscelis adeliae),Dream,N29A1,41.1,19,182,3425,MALE
48,Adelie Penguin (Pygoscelis adeliae),Dream,N29A2,37.5,18.9,179,2975,
49,Adelie Penguin (Pygoscelis adeliae),Dream,N30A1,36,17.9,190,3450,FEMALE
50,Adelie Penguin (Pygoscelis adeliae),Dream,N30A2,42.3,21.2,191,4150,MALE
51,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A1,39.6,17.7,186,3500,FEMALE
52,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A2,40.1,18.9,188,4300,MALE
53,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A1,35,17.9,190,3450,FEMALE
54,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A2,42,19.5,200,4050,MALE
55,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A1,34.5,18.1,187,2900,FEMALE
56,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A2,41.4,18.6,191,3700,MALE
57,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A1,39,17.5,186,3550,FEMALE
58,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A2,40.6,18.8,193,3800,MALE
59,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A1,36.5,16.6,181,2850,FEMALE
60,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A2,37.6,19.1,194,3750,MALE
61,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A1,35.7,16.9,185,3150,FEMALE
62,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A2,41.3,21.1,195,4400,MALE
63,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A1,37.6,17,185,3600,FEMALE
64,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A2,41.1,18.2,192,4050,MALE
65,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A1,36.4,17.1,184,2850,FEMALE
66,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A2,41.6,18,192,3950,MALE
67,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A1,35.5,16.2,195,3350,FEMALE
68,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A2,41.1,19.1,188,4100,MALE
69,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A1,35.9,16.6,190,3050,FEMALE
70,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A2,41.8,19.4,198,4450,MALE
71,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A1,33.5,19,190,3600,FEMALE
72,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A2,39.7,18.4,190,3900,MALE
73,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A1,39.6,17.2,196,3550,FEMALE
74,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A2,45.8,18.9,197,4150,MALE
75,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A1,35.5,17.5,190,3700,FEMALE
76,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A2,42.8,18.5,195,4250,MALE
77,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A1,40.9,16.8,191,3700,FEMALE
78,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A2,37.2,19.4,184,3900,MALE
79,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A1,36.2,16.1,187,3550,FEMALE
80,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A2,42.1,19.1,195,4000,MALE
81,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A1,34.6,17.2,189,3200,FEMALE
82,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A2,42.9,17.6,196,4700,MALE
83,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A1,36.7,18.8,187,3800,FEMALE
84,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A2,35.1,19.4,193,4200,MALE
85,Adelie Penguin (Pygoscelis adeliae),Dream,N41A1,37.3,17.8,191,3350,FEMALE
86,Adelie Penguin (Pygoscelis adeliae),Dream,N41A2,41.3,20.3,194,3550,MALE
87,Adelie Penguin (Pygoscelis adeliae),Dream,N42A1,36.3,19.5,190,3800,MALE
88,Adelie Penguin (Pygoscelis adeliae),Dream,N42A2,36.9,18.6,189,3500,FEMALE
89,Adelie Penguin (Pygoscelis adeliae),Dream,N44A1,38.3,19.2,189,3950,MALE
90,Adelie Penguin (Pygoscelis adeliae),Dream,N44A2,38.9,18.8,190,3600,FEMALE
91,Adelie Penguin (Pygoscelis adeliae),Dream,N45A1,35.7,18,202,3550,FEMALE
92,Adelie Penguin (Pygoscelis adeliae),Dream,N45A2,41.1,18.1,205,4300,MALE
93,Adelie Penguin (Pygoscelis adeliae),Dream,N46A1,34,17.1,185,3400,FEMALE
94,Adelie Penguin (Pygoscelis adeliae),Dream,N46A2,39.6,18.1,186,4450,MALE
95,Adelie Penguin (Pygoscelis adeliae),Dream,N48A1,36.2,17.3,187,3300,FEMALE
96,Adelie Penguin (Pygoscelis adeliae),Dream,N48A2,40.8,18.9,208,4300,MALE
97,Adelie Penguin (Pygoscelis adeliae),Dream,N49A1,38.1,18.6,190,3700,FEMALE
98,Adelie Penguin (Pygoscelis adeliae),Dream,N49A2,40.3,18.5,196,4350,MALE
99,Adelie Penguin (Pygoscelis adeliae),Dream,N50A1,33.1,16.1,178,2900,FEMALE
100,Adelie Penguin (Pygoscelis adeliae),Dream,N50A2,43.2,18.5,192,4100,MALE
101,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A1,35,17.9,192,3725,FEMALE
102,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A2,41,20,203,4725,MALE
103,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A1,37.7,16,183,3075,FEMALE
104,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A2,37.8,20,190,4250,MALE
105,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A1,37.9,18.6,193,2925,FEMALE
106,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A2,39.7,18.9,184,3550,MALE
107,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A1,38.6,17.2,199,3750,FEMALE
108,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A2,38.2,20,190,3900,MALE
109,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A1,38.1,17,181,3175,FEMALE
110,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A2,43.2,19,197,4775,MALE
111,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A1,38.1,16.5,198,3825,FEMALE
112,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A2,45.6,20.3,191,4600,MALE
113,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A1,39.7,17.7,193,3200,FEMALE
114,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A2,42.2,19.5,197,4275,MALE
115,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A1,39.6,20.7,191,3900,FEMALE
116,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A2,42.7,18.3,196,4075,MALE
117,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A1,38.6,17,188,2900,FEMALE
118,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A2,37.3,20.5,199,3775,MALE
119,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A1,35.7,17,189,3350,FEMALE
120,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A2,41.1,18.6,189,3325,MALE
121,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A1,36.2,17.2,187,3150,FEMALE
122,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A2,37.7,19.8,198,3500,MALE
123,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A1,40.2,17,176,3450,FEMALE
124,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A2,41.4,18.5,202,3875,MALE
125,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A1,35.2,15.9,186,3050,FEMALE
126,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A2,40.6,19,199,4000,MALE
127,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A1,38.8,17.6,191,3275,FEMALE
128,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A2,41.5,18.3,195,4300,MALE
129,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A1,39,17.1,191,3050,FEMALE
130,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A2,44.1,18,210,4000,MALE
131,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A1,38.5,17.9,190,3325,FEMALE
132,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A2,43.1,19.2,197,3500,MALE
133,Adelie Penguin (Pygoscelis adeliae),Dream,N76A1,36.8,18.5,193,3500,FEMALE
134,Adelie Penguin (Pygoscelis adeliae),Dream,N76A2,37.5,18.5,199,4475,MALE
135,Adelie Penguin (Pygoscelis adeliae),Dream,N77A1,38.1,17.6,187,3425,FEMALE
136,Adelie Penguin (Pygoscelis adeliae),Dream,N77A2,41.1,17.5,190,3900,MALE
137,Adelie Penguin (Pygoscelis adeliae),Dream,N78A1,35.6,17.5,191,3175,FEMALE
138,Adelie Penguin (Pygoscelis adeliae),Dream,N78A2,40.2,20.1,200,3975,MALE
139,Adelie Penguin (Pygoscelis adeliae),Dream,N79A1,37,16.5,185,3400,FEMALE
140,Adelie Penguin (Pygoscelis adeliae),Dream,N79A2,39.7,17.9,193,4250,MALE
141,Adelie Penguin (Pygoscelis adeliae),Dream,N80A1,40.2,17.1,193,3400,FEMALE
142,Adelie Penguin (Pygoscelis adeliae),Dream,N80A2,40.6,17.2,187,3475,MALE
143,Adelie Penguin (Pygoscelis adeliae),Dream,N81A1,32.1,15.5,188,3050,FEMALE
144,Adelie Penguin (Pygoscelis adeliae),Dream,N81A2,40.7,17,190,3725,MALE
145,Adelie Penguin (Pygoscelis adeliae),Dream,N82A1,37.3,16.8,192,3000,FEMALE
146,Adelie Penguin (Pygoscelis adeliae),Dream,N82A2,39,18.7,185,3650,MALE
147,Adelie Penguin (Pygoscelis adeliae),Dream,N83A1,39.2,18.6,190,4250,MALE
148,Adelie Penguin (Pygoscelis adeliae),Dream,N83A2,36.6,18.4,184,3475,FEMALE
149,Adelie Penguin (Pygoscelis adeliae),Dream,N84A1,36,17.8,195,3450,FEMALE
150,Adelie Penguin (Pygoscelis adeliae),Dream,N84A2,37.8,18.1,193,3750,MALE
151,Adelie Penguin (Pygoscelis adeliae),Dream,N85A1,36,17.1,187,3700,FEMALE
152,Adelie Penguin (Pygoscelis adeliae),Dream,N85A2,41.5,18.5,201,4000,MALE
1,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A1,46.5,17.9,192,3500,FEMALE
2,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A2,50,19.5,196,3900,MALE
3,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A1,51.3,19.2,193,3650,MALE
4,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A2,45.4,18.7,188,3525,FEMALE
5,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A1,52.7,19.8,197,3725,MALE
6,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A2,45.2,17.8,198,3950,FEMALE
7,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A1,46.1,18.2,178,3250,FEMALE
8,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A2,51.3,18.2,197,3750,MALE
9,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A1,46,18.9,195,4150,FEMALE
10,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A2,51.3,19.9,198,3700,MALE
11,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A1,46.6,17.8,193,3800,FEMALE
12,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A2,51.7,20.3,194,3775,MALE
13,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A1,47,17.3,185,3700,FEMALE
14,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A2,52,18.1,201,4050,MALE
15,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A1,45.9,17.1,190,3575,FEMALE
16,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A2,50.5,19.6,201,4050,MALE
17,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A1,50.3,20,197,3300,MALE
18,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A2,58,17.8,181,3700,FEMALE
19,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A1,46.4,18.6,190,3450,FEMALE
20,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A2,49.2,18.2,195,4400,MALE
21,Chinstrap penguin (Pygoscelis antarctica),Dream,N73A1,42.4,17.3,181,3600,FEMALE
22,Chinstrap penguin (Pygoscelis antarctica),Dream,N73A2,48.5,17.5,191,3400,MALE
23,Chinstrap penguin (Pygoscelis antarctica),Dream,N85A1,43.2,16.6,187,2900,FEMALE
24,Chinstrap penguin (Pygoscelis antarctica),Dream,N85A2,50.6,19.4,193,3800,MALE
25,Chinstrap penguin (Pygoscelis antarctica),Dream,N89A1,46.7,17.9,195,3300,FEMALE
26,Chinstrap penguin (Pygoscelis antarctica),Dream,N89A2,52,19,197,4150,MALE
27,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A1,50.5,18.4,200,3400,FEMALE
28,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A2,49.5,19,200,3800,MALE
29,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A1,46.4,17.8,191,3700,FEMALE
30,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A2,52.8,20,205,4550,MALE
31,Chinstrap penguin (Pygoscelis antarctica),Dream,N63A1,40.9,16.6,187,3200,FEMALE
32,Chinstrap penguin (Pygoscelis antarctica),Dream,N63A2,54.2,20.8,201,4300,MALE
33,Chinstrap penguin (Pygoscelis antarctica),Dream,N65A1,42.5,16.7,187,3350,FEMALE
34,Chinstrap penguin (Pygoscelis antarctica),Dream,N65A2,51,18.8,203,4100,MALE
35,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A1,49.7,18.6,195,3600,MALE
36,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A2,47.5,16.8,199,3900,FEMALE
37,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A1,47.6,18.3,195,3850,FEMALE
38,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A2,52,20.7,210,4800,MALE
39,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A1,46.9,16.6,192,2700,FEMALE
40,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A2,53.5,19.9,205,4500,MALE
41,Chinstrap penguin (Pygoscelis antarctica),Dream,N74A1,49,19.5,210,3950,MALE
42,Chinstrap penguin (Pygoscelis antarctica),Dream,N74A2,46.2,17.5,187,3650,FEMALE
43,Chinstrap penguin (Pygoscelis antarctica),Dream,N75A1,50.9,19.1,196,3550,MALE
44,Chinstrap penguin (Pygoscelis antarctica),Dream,N75A2,45.5,17,196,3500,FEMALE
45,Chinstrap penguin (Pygoscelis antarctica),Dream,N86A1,50.9,17.9,196,3675,FEMALE
46,Chinstrap penguin (Pygoscelis antarctica),Dream,N86A2,50.8,18.5,201,4450,MALE
47,Chinstrap penguin (Pygoscelis antarctica),Dream,N87A1,50.1,17.9,190,3400,FEMALE
48,Chinstrap penguin (Pygoscelis antarctica),Dream,N87A2,49,19.6,212,4300,MALE
49,Chinstrap penguin (Pygoscelis antarctica),Dream,N88A1,51.5,18.7,187,3250,MALE
50,Chinstrap penguin (Pygoscelis antarctica),Dream,N88A2,49.8,17.3,198,3675,FEMALE
51,Chinstrap penguin (Pygoscelis antarctica),Dream,N90A1,48.1,16.4,199,3325,FEMALE
52,Chinstrap penguin (Pygoscelis antarctica),Dream,N90A2,51.4,19,201,3950,MALE
53,Chinstrap penguin (Pygoscelis antarctica),Dream,N92A1,45.7,17.3,193,3600,FEMALE
54,Chinstrap penguin (Pygoscelis antarctica),Dream,N92A2,50.7,19.7,203,4050,MALE
55,Chinstrap penguin (Pygoscelis antarctica),Dream,N93A1,42.5,17.3,187,3350,FEMALE
56,Chinstrap penguin (Pygoscelis antarctica),Dream,N93A2,52.2,18.8,197,3450,MALE
57,Chinstrap penguin (Pygoscelis antarctica),Dream,N94A1,45.2,16.6,191,3250,FEMALE
58,Chinstrap penguin (Pygoscelis antarctica),Dream,N94A2,49.3,19.9,203,4050,MALE
59,Chinstrap penguin (Pygoscelis antarctica),Dream,N95A1,50.2,18.8,202,3800,MALE
60,Chinstrap penguin (Pygoscelis antarctica),Dream,N95A2,45.6,19.4,194,3525,FEMALE
61,Chinstrap penguin (Pygoscelis antarctica),Dream,N96A1,51.9,19.5,206,3950,MALE
62,Chinstrap penguin (Pygoscelis antarctica),Dream,N96A2,46.8,16.5,189,3650,FEMALE
63,Chinstrap penguin (Pygoscelis antarctica),Dream,N98A1,45.7,17,195,3650,FEMALE
64,Chinstrap penguin (Pygoscelis antarctica),Dream,N98A2,55.8,19.8,207,4000,MALE
65,Chinstrap penguin (Pygoscelis antarctica),Dream,N99A1,43.5,18.1,202,3400,FEMALE
66,Chinstrap penguin (Pygoscelis antarctica),Dream,N99A2,49.6,18.2,193,3775,MALE
67,Chinstrap penguin (Pygoscelis antarctica),Dream,N100A1,50.8,19,210,4100,MALE
68,Chinstrap penguin (Pygoscelis antarctica),Dream,N100A2,50.2,18.7,198,3775,FEMALE
1,Gentoo penguin (Pygoscelis papua),Biscoe,N31A1,46.1,13.2,211,4500,FEMALE
2,Gentoo penguin (Pygoscelis papua),Biscoe,N31A2,50,16.3,230,5700,MALE
3,Gentoo penguin (Pygoscelis papua),Biscoe,N32A1,48.7,14.1,210,4450,FEMALE
4,Gentoo penguin (Pygoscelis papua),Biscoe,N32A2,50,15.2,218,5700,MALE
5,Gentoo penguin (Pygoscelis papua),Biscoe,N33A1,47.6,14.5,215,5400,MALE
6,Gentoo penguin (Pygoscelis papua),Biscoe,N33A2,46.5,13.5,210,4550,FEMALE
7,Gentoo penguin (Pygoscelis papua),Biscoe,N34A1,45.4,14.6,211,4800,FEMALE
8,Gentoo penguin (Pygoscelis papua),Biscoe,N34A2,46.7,15.3,219,5200,MALE
9,Gentoo penguin (Pygoscelis papua),Biscoe,N35A1,43.3,13.4,209,4400,FEMALE
10,Gentoo penguin (Pygoscelis papua),Biscoe,N35A2,46.8,15.4,215,5150,MALE
11,Gentoo penguin (Pygoscelis papua),Biscoe,N36A1,40.9,13.7,214,4650,FEMALE
12,Gentoo penguin (Pygoscelis papua),Biscoe,N36A2,49,16.1,216,5550,MALE
13,Gentoo penguin (Pygoscelis papua),Biscoe,N37A1,45.5,13.7,214,4650,FEMALE
14,Gentoo penguin (Pygoscelis papua),Biscoe,N37A2,48.4,14.6,213,5850,MALE
15,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,45.8,14.6,210,4200,FEMALE
16,Gentoo penguin (Pygoscelis papua),Biscoe,N38A2,49.3,15.7,217,5850,MALE
17,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,42,13.5,210,4150,FEMALE
18,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,49.2,15.2,221,6300,MALE
19,Gentoo penguin (Pygoscelis papua),Biscoe,N40A1,46.2,14.5,209,4800,FEMALE
20,Gentoo penguin (Pygoscelis papua),Biscoe,N40A2,48.7,15.1,222,5350,MALE
21,Gentoo penguin (Pygoscelis papua),Biscoe,N41A1,50.2,14.3,218,5700,MALE
22,Gentoo penguin (Pygoscelis papua),Biscoe,N41A2,45.1,14.5,215,5000,FEMALE
23,Gentoo penguin (Pygoscelis papua),Biscoe,N42A1,46.5,14.5,213,4400,FEMALE
24,Gentoo penguin (Pygoscelis papua),Biscoe,N42A2,46.3,15.8,215,5050,MALE
25,Gentoo penguin (Pygoscelis papua),Biscoe,N44A1,42.9,13.1,215,5000,FEMALE
26,Gentoo penguin (Pygoscelis papua),Biscoe,N44A2,46.1,15.1,215,5100,MALE
27,Gentoo penguin (Pygoscelis papua),Biscoe,N46A1,44.5,14.3,216,4100,MALE
28,Gentoo penguin (Pygoscelis papua),Biscoe,N46A2,47.8,15,215,5650,MALE
29,Gentoo penguin (Pygoscelis papua),Biscoe,N47A1,48.2,14.3,210,4600,FEMALE
30,Gentoo penguin (Pygoscelis papua),Biscoe,N47A2,50,15.3,220,5550,MALE
31,Gentoo penguin (Pygoscelis papua),Biscoe,N50A1,47.3,15.3,222,5250,MALE
32,Gentoo penguin (Pygoscelis papua),Biscoe,N50A2,42.8,14.2,209,4700,FEMALE
33,Gentoo penguin (Pygoscelis papua),Biscoe,N56A1,45.1,14.5,207,5050,FEMALE
34,Gentoo penguin (Pygoscelis papua),Biscoe,N56A2,59.6,17,230,6050,MALE
35,Gentoo penguin (Pygoscelis papua),Biscoe,N2A1,49.1,14.8,220,5150,FEMALE
36,Gentoo penguin (Pygoscelis papua),Biscoe,N2A2,48.4,16.3,220,5400,MALE
37,Gentoo penguin (Pygoscelis papua),Biscoe,N4A1,42.6,13.7,213,4950,FEMALE
38,Gentoo penguin (Pygoscelis papua),Biscoe,N4A2,44.4,17.3,219,5250,MALE
39,Gentoo penguin (Pygoscelis papua),Biscoe,N5A1,44,13.6,208,4350,FEMALE
40,Gentoo penguin (Pygoscelis papua),Biscoe,N5A2,48.7,15.7,208,5350,MALE
41,Gentoo penguin (Pygoscelis papua),Biscoe,N6A1,42.7,13.7,208,3950,FEMALE
42,Gentoo penguin (Pygoscelis papua),Biscoe,N6A2,49.6,16,225,5700,MALE
43,Gentoo penguin (Pygoscelis papua),Biscoe,N7A1,45.3,13.7,210,4300,FEMALE
44,Gentoo penguin (Pygoscelis papua),Biscoe,N7A2,49.6,15,216,4750,MALE
45,Gentoo penguin (Pygoscelis papua),Biscoe,N8A1,50.5,15.9,222,5550,MALE
46,Gentoo penguin (Pygoscelis papua),Biscoe,N8A2,43.6,13.9,217,4900,FEMALE
47,Gentoo penguin (Pygoscelis papua),Biscoe,N11A1,45.5,13.9,210,4200,FEMALE
48,Gentoo penguin (Pygoscelis papua),Biscoe,N11A2,50.5,15.9,225,5400,MALE
49,Gentoo penguin (Pygoscelis papua),Biscoe,N12A1,44.9,13.3,213,5100,FEMALE
50,Gentoo penguin (Pygoscelis papua),Biscoe,N12A2,45.2,15.8,215,5300,MALE
51,Gentoo penguin (Pygoscelis papua),Biscoe,N13A1,46.6,14.2,210,4850,FEMALE
52,Gentoo penguin (Pygoscelis papua),Biscoe,N13A2,48.5,14.1,220,5300,MALE
53,Gentoo penguin (Pygoscelis papua),Biscoe,N14A1,45.1,14.4,210,4400,FEMALE
54,Gentoo penguin (Pygoscelis papua),Biscoe,N14A2,50.1,15,225,5000,MALE
55,Gentoo penguin (Pygoscelis papua),Biscoe,N15A1,46.5,14.4,217,4900,FEMALE
56,Gentoo penguin (Pygoscelis papua),Biscoe,N15A2,45,15.4,220,5050,MALE
